Task,Dataset,Library,Hydrolysis_Method_ID,Hydrolysis_Method,Enzyme(s),Probability_Tier,Probability group,Count,Unique sequences,Mean_Probability,Median_Probability,Mean_Length,Download_File,Pool file,Filtered file,N/C terminal analysis,MEME output,Status
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),Reported,Reported,111,111,0.7947434300695637,0.8939050991866341,2.7117117117117115,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ChyTryPep.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ChyTryPep.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ChyTryPep.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),Chymotrypsin + Trypsin + Pepsin (pH=1.3),No reported,No reported,313038,313038,0.2785884108398856,0.1537677479544684,7.041499754023473,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ChyTryPep.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ChyTryPep.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ChyTryPep.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ThePap,Thermolysin + Papain,Thermolysin + Papain,Reported,Reported,54,54,0.7813022416720097,0.8875006962292589,2.3333333333333335,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ThePap.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ThePap.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ThePap.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ThePap,Thermolysin + Papain,Thermolysin + Papain,No reported,No reported,154512,154512,0.23980683022350924,0.14789910486742014,6.052397224811018,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ThePap.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ThePap.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ThePap.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,PepPan,Pepsin + Pancreatic,Pepsin + Pancreatic,Reported,Reported,69,69,0.8152956547732113,0.9076300665445333,2.420289855072464,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_PepPan.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_PepPan.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_PepPan.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,PepPan,Pepsin + Pancreatic,Pepsin + Pancreatic,No reported,No reported,138310,138310,0.2679297532499324,0.17068446443022428,5.9871882004193475,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_PepPan.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_PepPan.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_PepPan.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ProteinaseK,Proteinase K,Proteinase K,Reported,Reported,65,65,0.8304656499649318,0.9075220563001605,2.6769230769230767,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ProteinaseK.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ProteinaseK.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ProteinaseK.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ProteinaseK,Proteinase K,Proteinase K,No reported,No reported,188853,188853,0.24261607227071522,0.14787602049116608,6.409937888198757,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ProteinaseK.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ProteinaseK.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ProteinaseK.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Thermolysin,Thermolysin,Thermolysin,Reported,Reported,80,80,0.7471233317848791,0.8902707634607037,2.6875,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Thermolysin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Thermolysin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Thermolysin.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Thermolysin,Thermolysin,Thermolysin,No reported,No reported,431144,431144,0.27676304402799473,0.18064360238460858,7.731971220752231,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Thermolysin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Thermolysin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Thermolysin.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Papain,Papain,Papain,Reported,Reported,87,87,0.8068405319907498,0.9010377919901656,2.367816091954023,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Papain.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Papain.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Papain.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Papain,Papain,Papain,No reported,No reported,335943,335943,0.36598487445963035,0.25054393888400306,6.743929773800913,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Papain.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Papain.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Papain.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Pepsin,Pepsin (pH=1.3),Pepsin (pH=1.3),Reported,Reported,173,173,0.827140919930719,0.9121477445889905,2.6358381502890174,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Pepsin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Pepsin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Pepsin.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Pepsin,Pepsin (pH=1.3),Pepsin (pH=1.3),No reported,No reported,437223,437223,0.30075940998968553,0.18279805654204095,9.418045253794974,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Pepsin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Pepsin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Pepsin.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Chymotrypsin,Chymotrypsin,Chymotrypsin,Reported,Reported,117,117,0.8098747492644873,0.8962706816435165,2.658119658119658,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Chymotrypsin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Chymotrypsin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Chymotrypsin.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Chymotrypsin,Chymotrypsin,Chymotrypsin,No reported,No reported,458238,458238,0.3022937509554081,0.17909013876319163,8.052627673828884,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Chymotrypsin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Chymotrypsin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Chymotrypsin.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Trypsin,Trypsin,Trypsin,Reported,Reported,137,137,0.8180512793150594,0.9077345158366023,2.9124087591240877,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Trypsin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Trypsin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_Trypsin.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Trypsin,Trypsin,Trypsin,No reported,No reported,385967,385967,0.36662837821149735,0.2555644237001478,10.015177463358267,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Trypsin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Trypsin.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_Trypsin.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
